,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
0,10.0,0.765,0.765,10.0,10.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,0.7647058823529412,0.0,-0.76,0.01,0.77,0.001,-0.076
1,20.0,1.53,1.53,20.0,20.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,1.5294117647058825,0.0,-1.53,0.0,1.53,0.0,-0.0765
2,30.0,2.295,2.295,30.0,30.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,2.294117647058824,0.0,-2.29,0.0,2.3,0.0,-0.0763
3,40.0,3.06,3.06,40.0,40.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,3.058823529411765,0.0,-3.06,0.0,3.06,0.0,-0.0765
4,50.0,3.825,3.825,50.0,50.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,3.823529411764706,0.0,-3.82,0.01,3.83,0.0002,-0.0764
5,60.0,4.59,4.59,60.0,60.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,4.588235294117648,0.0,-4.59,0.0,4.59,0.0,-0.0765
6,70.0,5.355,5.355,70.0,70.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,5.352941176470589,0.0,-5.35,0.01,5.36,0.0001,-0.0764
7,80.0,6.12,6.12,80.0,80.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,6.11764705882353,0.0,-6.12,0.0,6.12,0.0,-0.0765
8,90.0,6.885,6.885,90.0,90.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,6.882352941176471,0.0,-6.88,0.0,6.89,0.0,-0.0764
9,100.0,7.65,7.65,100.0,100.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,7.647058823529412,0.0,-7.65,0.0,7.65,0.0,-0.0765
10,110.0,8.415000000000001,8.415000000000001,110.0,110.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,8.411764705882353,0.0,-8.41,0.01,8.42,0.0001,-0.0765
11,120.0,9.18,9.18,120.0,120.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,9.176470588235295,0.0,-9.18,0.0,9.18,0.0,-0.0765
12,130.0,9.945,9.945,130.0,130.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,9.941176470588236,0.0,-9.94,0.01,9.95,0.0001,-0.0765
13,140.0,10.71,10.71,140.0,140.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,10.705882352941178,0.0,-10.71,0.0,10.71,0.0,-0.0765
14,150.0,11.475000000000001,11.475000000000001,150.0,150.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,11.470588235294118,0.0,-11.47,0.01,11.48,0.0001,-0.0765
15,160.0,12.24,12.24,160.0,160.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,12.23529411764706,0.0,-12.24,0.0,12.24,0.0,-0.0765
16,170.0,13.004999999999999,13.004999999999999,170.0,170.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,13.000000000000002,0.0,-13.0,0.0,13.01,0.0,-0.0765
17,180.0,13.77,13.77,180.0,180.0,0.0,standard,9550.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,13.764705882352942,0.0,-13.76,0.01,13.78,0.0001,-0.0764
